Project Name,Subname,Price (24h),Price Change (24h),Volume (24h),FDV,Market Cap,ROI,Total Raised,Date
TurtSat,,$0.0021,-4.05%,$704.95 K,$2.1 M,,0.33x,,"Nov 21, 2023"
Vertex Protocol,VRTX,$0.09959,-0.40%,$1.25 M,$99.21 M,,0.41x,$10.91 M,"Nov 21, 2023"
Pyth Network,,$0.298,3.67%,$42.12 M,$2.97 B,$447 M,0.68x,,"Nov 19, 2023"
Elixxir,XX,$0.04154,3.32%,$59.95 K,$39.56 M,,0.12x,$9.7 M,"Nov 16, 2023"
Spacemesh,SPACE,$0.7922,-1.72%,$206.53 K,$42.27 M,$42.76 M,0.37x,$18.2 M,"Nov 16, 2023"
Chappyz,CHAPZ,$0.00144,-8.91%,$64.3 K,$14.5 M,,2.4x,,"Nov 15, 2023"
REPUBLIK,,$0.00463,3.88%,$1.83 M,$13.98 M,$1.13 M,0.19x,$6 M,"Nov 14, 2023"
AI Surf,AISC,$0.00189,-0.68%,$2.23 K,$190 K,,0.01x,$70 K,"Nov 13, 2023"
MultiBit,MUBI,$0.02151,4.04%,$1.19 M,$21.3 M,$20.43 M,46.22x,$180.31 K,"Nov 13, 2023"
Propbase,PROPS,$0.08642,-3.51%,$1.08 M,$104.99 M,$31.35 M,27.07x,$180 K,"Nov 12, 2023"
Klubcoin,KLUB,$0.00392,32.39%,$62.96 K,$3.72 M,$683.13 K,0.32x,,"Nov 11, 2023"
Lamas Finance,LMF,$0.04466,-1.69%,$311.3,$445.2 K,,0.11x,,"Nov 9, 2023"
Cool Cats,MILK,$0.000093,2.54%,$11.64,$228.04 K,$228.04 K,0.84x,,"Nov 7, 2023"
Shrapnel,SHARP,$0.02834,-11.05%,$2.43 M,$84.93 M,$6.83 M,0.26x,$38.1 M,"Nov 7, 2023"
Fxdx.exchange,Fxdx,$0.00123,0.78%,$86.48 K,$1.3 M,,0.09x,,"Nov 5, 2023"
Micro AI,,$0.7433,3.10%,$45.21,$743.3 K,,0.26x,$2.24 M,"Nov 5, 2023"
Memecoin,MEME,$0.01108,3.54%,$20.4 M,$751.41 M,$265.47 M,11.05x,$15.87 M,"Nov 2, 2023"
AiMalls,AIT,$1.437,0.46%,$71.96 K,$1.2 M,$290.11 K,0.14x,,"Nov 2, 2023"
Amino,AMO,$0.000119,1.15%,$68.4 K,$6 M,$1.19 M,0.01x,,"Nov 2, 2023"
Prisma,,$0.03291,-7.37%,$3.76 M,$10.05 M,,0.01x,,"Nov 1, 2023"
Amino Rewards,,$0.000119,1.15%,$68.4 K,$6 M,$1.19 M,0.04x,,"Oct 31, 2023"
Celestia,TIA,$5.94,9.84%,$109.45 M,$5.85 B,$1.21 B,19.56x,$56.5 M,"Oct 30, 2023"
Sword and Magic World,SWO,$0.00119,18.14%,$2.03 K,$142.8 K,,0.01x,,"Oct 27, 2023"
TokenFi,,$0.0686,-5.60%,$11.6 M,$683.3 M,$68.6 M,1367.62x,$10 M,"Oct 27, 2023"
Phantom of the Kill,OSHI,$0.02438,0.28%,$67.64 K,$24.38 M,,1.63x,,"Oct 25, 2023"
Pop Social,PPT,$0.03309,-5.09%,$965.02 K,$6.62 M,,0.09x,$4 M,"Oct 25, 2023"
Openfabric AI,OFN,$0.1171,-1.48%,$159.3 K,$58.45 M,$3.39 M,1.95x,$5.33 M,"Oct 23, 2023"
ZTX,ZTX,$0.00619,1.28%,$319.69 K,$61.8 M,$21.33 M,0.32x,$13 M,"Oct 16, 2023"
VinuChain,VC,$0.02541,8.34%,$268.52 K,$24.94 M,$1.77 M,1x,,"Oct 15, 2023"
Unice,UNICE,$0.081,-2.22%,$191.02 K,$80.65 M,$2.68 M,1.02x,,"Oct 12, 2023"
Tezos Domains,TED,$0.017,-0.39%,$13.85 K,$1.56 M,,0.42x,,"Oct 12, 2023"
Mountain Protocol,,$0.9984,-0.23%,$943.34 K,$45.71 M,$45.74 M,1x,$8 M,"Oct 11, 2023"
