Project Name,Subname,Price (24h),Price Change (24h),Volume (24h),FDV,Market Cap,ROI,Total Raised,Date
Instadapp,INST,$1.189,0.53%,$42.5 K,$118.9 M,,0.05x,$12.4 M,"Jun 16, 2021"
Octopus Protocol,OPS,$0.000738,2.05%,$5.1 K,$111 K,,0.01x,$3.23 M,"Jun 16, 2021"
Meme.com,MEM,$0.0112,6.39%,$21.61,$1.11 M,,0.02x,$6.42 M,"Jun 15, 2021"
Rich Quack,QUACK,$0,-2.47%,$357.86 K,$68 M,$30.22 M,0.25x,$10 K,"Jun 15, 2021"
Kampay,KAMPAY,$0.000106,0.18%,$1.38,$106 K,$43.36 K,0.01x,$340 K,"Jun 14, 2021"
Sovryn,SOV,$0.4651,1.43%,$25.46 K,$46.56 M,$29.88 M,0.09x,$29 M,"Jun 14, 2021"
TrustFi,TFI,$0.00889,0.45%,$18.88 K,$872.69 K,$401.61 K,0.11x,$1.73 M,"Jun 14, 2021"
Faraland,FARA,$0.01259,-1.10%,$27.6 K,$1.26 M,$288.67 K,0.07x,$2.76 M,"Jun 13, 2021"
Cratos,,$0.00032,4.51%,$2.45 M,$32.2 M,$15.78 M,0.35x,,"Jun 11, 2021"
MoonStarter,MNST,$0.00243,3.04%,$249.27,$484 K,,0.17x,$1.07 M,"Jun 11, 2021"
Hypersign,HID,$0.02316,-1.12%,$1.78 K,$1.16 M,$787.44 K,0.09x,$1.68 M,"Jun 11, 2021"
Trade Race Manager,IOI,$0.01852,2.02%,$145.5 K,$693.75 K,$210.45 K,0.05x,$1.8 M,"Jun 10, 2021"
iMe,LIME,$0.04175,-2.94%,$3.68 M,$39.58 M,$18.07 M,2.09x,$1.94 M,"Jun 10, 2021"
Stratos,STOS,$0.3736,0.86%,$350.27 K,$37.46 M,$14.5 M,1.25x,$2.13 M,"Jun 9, 2021"
Decentralized Social,DESO,$6.39,-0.93%,$876.95 K,$70.04 M,$56.77 M,0.04x,$200 M,"Jun 9, 2021"
Aldrin,RIN,$0.00904,-5.13%,$3.05 K,$480.5 K,,0.01x,$8.48 M,"Jun 8, 2021"
NFT Stars,NFTS,$0.06671,-1.15%,$34.38,$1.33 M,,0.03x,$800 K,"Jun 7, 2021"
PlanetWatch,PLANETS,$0.000025,-9.66%,$97.63,$17.57 K,$7.98 K,0.01x,$3.2 M,"Jun 6, 2021"
Automata,ATA,$0.07499,-0.14%,$1.49 M,$74.9 M,$38.48 M,1.87x,$3.4 M,"Jun 6, 2021"
Universe.XYZ,XYZ,$0.000059,1.22%,$20.62,$65.83 K,$43.8 K,0.01x,$4.3 M,"Jun 6, 2021"
TRONPAD,TRONPAD,$0.00161,-0.33%,$74.11,$289 K,,1.61x,$409.45 K,"Jun 4, 2021"
Phuture,PHTR,$0.00313,13.74%,$32.18,$316 K,,0.01x,$1.78 M,"Jun 3, 2021"
Simba,SIMBA,$0,0.62%,$32.6,$52.2 K,,0.01x,,"Jun 3, 2021"
BSClaunch,BSL,$0.00106,-1.72%,$72.64,$106 K,$2.07 K,0.01x,,"Jun 2, 2021"
NiiFi,NIIFI,$0.00209,4.43%,$592.11,$1.85 M,,0.05x,$3.27 M,"Jun 2, 2021"
B-cube.ai,BCUBE,$0.0868,2.92%,$1.59 K,$4.31 M,$2.34 M,0.14x,$4.79 M,"May 31, 2021"
Manifold Finance,FOLD,$9.9,0.39%,$24.49 K,$46.32 M,,0.82x,,"May 31, 2021"
Solanium,SLIM,$0.1291,-1.34%,$205.2 K,$12.91 M,$12.91 M,0.64x,$3.54 M,"May 31, 2021"
Charged Particles,IONX,$0.0082,-0.48%,$73.04 K,$820 K,,0.04x,$1.95 M,"May 31, 2021"
Mina Protocol,MINA,$0.4404,1.81%,$16.85 M,$518.61 M,$503.69 M,1.75x,$140.15 M,"May 30, 2021"
Ethermon.io,EMON,$0.00109,2.72%,$1.39 K,$428 K,,0.01x,$200 K,"May 28, 2021"
BlackPool Token,BPT,$0.04406,1.12%,$861.53,$2.29 M,$617.36 K,0.01x,$6 M,"May 28, 2021"
CryptoTycoon,CTT,$0.2201,-3.58%,$3.02 K,$167.36 K,$168.2 K,0.01x,$945 K,"May 27, 2021"
Spell Token,,$0.000531,0.56%,$1.89 M,$104.28 M,$78.44 M,0.42x,$1.21 M,"May 27, 2021"
Freela,FREELA,$0.000181,-0.15%,$289.41 K,$10 M,,0.02x,$1.6 M,"May 27, 2021"
Virtue Poker,VPP,$0.00582,11.76%,$710.45,$2.88 M,,0.05x,$250 K,"May 27, 2021"
Kalmar,KALM,$0.04111,-3.63%,$857.21,$409.6 K,$351.49 K,0.02x,$2.9 M,"May 27, 2021"
Rigel Protocol,RGP,$0.00991,-1.09%,$29.97,$173.02 K,$24.73 K,0.01x,$2.04 M,"May 26, 2021"
Fear NFT Games,FEAR,$0.05144,-3.39%,$160.02 K,$2.14 M,$911.28 K,0.51x,$1.24 M,"May 26, 2021"
NFTMart,NMT,$0.00328,-6.75%,$4.95 K,$25 M,,0.01x,$1.53 M,"May 25, 2021"
dotmoovs,MOOV,$0.0025,-2.96%,$575.23 K,$2.5 M,$1.83 M,0.62x,$1 M,"May 25, 2021"
Manchester City Fan Token,CITY,$2.133,1.00%,$1.32 M,$41.89 M,$17.06 M,0.16x,,"May 25, 2021"
Tulip Protocol,TULIP,$0.1053,18.02%,$1.69 K,$1.05 M,$85.84 K,0.03x,$5 M,"May 24, 2021"
True PNL,PNL,$0.01735,-0.20%,$5.57 K,$255.93 K,$188.88 K,0.22x,$1.66 M,"May 23, 2021"
METANOA,NOA,$0.000245,-1.37%,$1.73,$245 K,,0.01x,$150 K,"May 21, 2021"
Drops,DOP,$0.00742,-4.90%,$7.09 M,$110.4 K,$8.73 K,0.01x,$1.32 M,"May 21, 2021"
Media Industry Licensing Content,MLT,$0.05905,-6.24%,$221.03 K,$11.8 M,$8.65 M,0.66x,$4.54 M,"May 19, 2021"
Spectra,APW,$0.4248,5.19%,$3.99 K,$21.14 M,$4.09 M,1.27x,$3.65 M,"May 19, 2021"
YooShi,YOOSHI,$0.00000002,-7.30%,$43.02 K,$25.9 M,$9.21 M,0.18x,,"May 17, 2021"
AscendEx token,ASD,$0.03954,-8.06%,$1.39 M,$30.82 M,$26.12 M,2.62x,$63.7 M,"May 17, 2021"
GeroWallet,GERO,$0.00284,-1.01%,$483.5,$1.42 M,,0.36x,$1.28 M,"May 17, 2021"
Metis,METIS,$33.4,3.05%,$16.17 M,$333.2 M,$198.11 M,6.7x,$5.05 M,"May 17, 2021"
Convex Finance,,$2.692,15.60%,$14.78 M,$270.29 M,$262.78 M,0.89x,,"May 17, 2021"
Relite.finance,RELI,$0.000352,-2.12%,$43.33,$24.5 K,$24.99 K,0.01x,$2.01 M,"May 17, 2021"
Ispolink,ISP,$0.000881,-3.62%,$253.45 K,$8.74 M,$2.43 M,0.55x,$3.51 M,"May 16, 2021"
ColdStack,CLS,$0.07608,0.49%,$57.41 K,$3.78 M,$114.5 K,0.05x,$2.85 M,"May 14, 2021"
TheForce Trade,FOC,$0.000595,-0.75%,$121.16,$266.4 K,$47.72 K,0.01x,$3.59 M,"May 14, 2021"
Don-key,DON,$0.00218,100.95%,$185.94,$217 K,$208.3 K,0.02x,$2.37 M,"May 14, 2021"
Polkaswap,PSWAP,$0.000598,4.63%,$873.62,$832.79,,0.01x,,"May 14, 2021"
SpiritSwap,SPIRIT,$0.00149,1.02%,$1.05 K,$1.48 M,$778.55 K,0.01x,$80 K,"May 13, 2021"
O3 Swap,O3,$0.01722,19.39%,$51.41 K,$1.72 M,$978.54 K,0.02x,$2.89 M,"May 13, 2021"
Globe Derivative Exchange,GDT,$0.00446,0.74%,$127.22,$1.78 M,,0.01x,$67.13 M,"May 12, 2021"
PolkaRare,PRARE,$0.00251,1.99%,$3.86 K,$251 K,$28.57 K,0.03x,$2.2 M,"May 11, 2021"
PrivacySwap,PRV,$0.4422,0.55%,$73.12,$314.18 K,,0.01x,$1 M,"May 10, 2021"
Loser Coin,LOWB,$0.00000665,0.60%,$4.94 K,$400.97 K,$400.97 K,0.02x,$300 K,"May 10, 2021"
Casper,CSPR,$0.01447,0.67%,$2.85 M,$184.68 M,$176.79 M,0.97x,$74.8 M,"May 10, 2021"
DFINITY,ICP,$7.17,1.53%,$68.72 M,$3.76 B,$3.36 B,1.58x,$167.2 M,"May 10, 2021"
PERI Finance,PERI,$0.3093,3.79%,$14.35 K,$4.2 M,$2.64 M,0.09x,$5.01 M,"May 10, 2021"
CateCoin,CATE,$0.00000019,-1.26%,$155.33 K,$190 K,,0.04x,$175.08 K,"May 10, 2021"
CryptoBlades,SKILL,$0.3224,-1.78%,$29.12 K,$322.7 K,$290.51 K,0.01x,$405 K,"May 9, 2021"
Lever,LEV,$0.00253,4.88%,$2.13 K,$252 K,$37.57 K,0.01x,$2.5 M,"May 8, 2021"
My DeFi Pet,DPET,$0.04771,4.05%,$200.97 K,$4.77 M,$1.99 M,0.6x,$1 M,"May 8, 2021"
Greenheart CBD,CBD,$0.00123,-0.77%,$42.55,$184.5 K,,0.02x,$4.83 M,"May 6, 2021"
Omni Consumer Protocol,OCP,$0.00934,1.85%,$864.92,$930 K,$111.16 K,0.09x,$1.38 M,"May 4, 2021"
TradeStars,TSX,$0.00167,0.11%,$5.45,$116.89 K,$22.63 K,0.01x,$1.91 M,"May 4, 2021"
Chia,,$15.03,-0.33%,$1.5 M,$479.9 M,$162.69 M,0.02x,$69.69 M,"May 3, 2021"
BlackHole Protocol,BLACK,$0.00105,0.51%,$3.43 K,$5 M,,0.02x,$683 K,"May 3, 2021"
Rally,RLY,$0.00649,7.23%,$789.1 K,$97.35 M,$33.71 M,0.01x,$56.83 M,"May 3, 2021"
Orao Network,Orao,$0.000791,3.16%,$254.56,$791 K,$31.16 K,0.05x,$2.09 M,"May 3, 2021"
LOCGame,LOCG,$0.00408,-1.75%,$5.05 K,$612 K,$577.78 K,0.11x,$1.49 M,"May 2, 2021"
Smooth Love Potion,,$0.00238,0.94%,$4.17 M,$98.34 M,$98.34 M,0.01x,,"May 1, 2021"
Ares Protocol,ARES,$0.000457,-0.06%,$9.18 K,$457 K,$105.65 K,0.01x,$3.11 M,"May 1, 2021"
Maple,MPL,$14.28,3.24%,$816.2 K,$143.3 M,$63.09 M,2.86x,$8.9 M,"May 1, 2021"
PolyDoge,POLYDOGE,$0.00000001,1.66%,$133.54 K,$76.86 M,,0.16x,$150 K,"Apr 30, 2021"
NAOS Finance,NAOS,$0.00947,4.31%,$6.04 K,$2.07 M,,0.05x,$5.4 M,"Apr 30, 2021"
Media Network,MEDIA,$11.72,-13.57%,$170.57 K,$10.95 M,,1.27x,$1 M,"Apr 30, 2021"
BlockBank,BBANK,$0.000092,-12.98%,$99.04,$36.8 K,$19.46 K,0.01x,$13.19 M,"Apr 28, 2021"
Altura,ALU,$0.02136,-6.86%,$10.4 M,$21.15 M,$15.37 M,37.49x,$216 K,"Apr 28, 2021"
The Crypto Prophecies,TCP,$0.000664,0.15%,$922.18,$159.62 K,$77.54 K,0.01x,$2.5 M,"Apr 28, 2021"
Pendle,PENDLE,$2.767,5.04%,$102.62 M,$719 M,$426.23 M,3.49x,$17.14 M,"Apr 28, 2021"
Truebit,TRU,$0.1395,0.68%,$62.94 K,$32.08 M,,1.45x,,"Apr 27, 2021"
Charli3,C3,$0.06891,-0.46%,$2.76 K,$4.24 M,,1.63x,$1.04 M,"Apr 27, 2021"
Alphr,SALPHR,$0.00781,10.25%,$581.06,$84.1 K,$14.47 K,0.01x,$2 M,"Apr 27, 2021"
Refinable,FINE,$0.00231,-39.23%,$135.85 K,$1.16 M,$94.85 K,0.07x,$3.09 M,"Apr 27, 2021"
Bonfire,,$0.00000001,-1.17%,$158.04,$4.86 M,,0.09x,$6.2 M,"Apr 26, 2021"
Mochi.Market,MOMA,$0.00224,-3.16%,$77.87,$225 K,$88.06 K,0.02x,$650 K,"Apr 25, 2021"
Mogul Productions,STARS,$0.00000919,-15.51%,$114.26,$3.59 K,$2.82 K,0.01x,,"Apr 23, 2021"
Busy,BUSY,$0.000371,4.62%,$647.92,$94.61 K,$94.6 K,0.01x,$2.1 M,"Apr 22, 2021"
BSCStation,BSCS,$0.00381,-3.93%,$138.54 K,$1.52 M,$943.84 K,0.38x,$855 K,"Apr 22, 2021"
Hord,HORD,$0.00577,-0.48%,$28.7 K,$1.85 M,$511.31 K,0.23x,$2 M,"Apr 22, 2021"
KyberNetwork,KNC,$0.429,0.13%,$7.49 M,$102.79 M,$73 M,0.98x,$53.67 M,"Apr 22, 2021"
Obortech,OBOT,$0.01441,12.61%,$17.65 K,$4.3 M,,0.38x,$440 K,"Apr 21, 2021"
DeHive,DHV,$0.01876,9.98%,$3.68 K,$103.47 K,$75.4 K,0.01x,$3.85 M,"Apr 21, 2021"
Saito,SAITO,$0.00495,0.58%,$80.88 K,$26.64 M,$9.8 M,0.41x,,"Apr 21, 2021"
Apron,APN,$0.000999,9.56%,$26.95 K,$999 K,,0.05x,$1.8 M,"Apr 20, 2021"
XFai,XFIT,$0.01602,0.80%,$2.53 K,$3.45 M,,0.13x,$3.9 M,"Apr 20, 2021"
Crowny,CRWNY,$0.00377,6.32%,$5.97 K,$3.06 M,$2.64 M,0.68x,$1.35 M,"Apr 20, 2021"
Sentinel,DVPN,$0.00097,-4.04%,$167.01 K,$27.76 M,$18.54 M,0.39x,$3.5 M,"Apr 19, 2021"
UniFarm,UFARM,$0.000147,-28.09%,$5.05,$147 K,$5.64 K,0.01x,$2.69 M,"Apr 19, 2021"
KelVPN,KEL,$0.00557,4.66%,$1.68 K,$554 K,,0.06x,$2.47 M,"Apr 18, 2021"
DisBalancer,DDOS,$0.02135,0.09%,$3.44 K,$159.05 K,$145.09 K,0.04x,$1.3 M,"Apr 16, 2021"
Unizen,ZCX,$0.07066,2.35%,$1.53 M,$66.91 M,$48.88 M,2.35x,$3.3 M,"Apr 15, 2021"
Franklin,FLY,$0.000798,0.99%,$10.37 K,$1.34 M,,0.03x,$6.94 M,"Apr 15, 2021"
Global Coin Research,,$0.1753,0.23%,$344.73,$1.75 M,$1.75 M,0.18x,$1.2 M,"Apr 15, 2021"
Reflexer,RAI,$2.295,1.89%,$27.35 K,$2.3 M,$444.76 K,0.01x,$5.84 M,"Apr 15, 2021"
Genesis Shards,GS,$0.0063,-1.47%,$72.75,$1.33 M,$75.8 K,0.05x,$2.88 M,"Apr 14, 2021"
BeyondFi,BYN,$0.0015,-1.62%,$165.28 K,$150 K,$13.29 K,0.01x,$8.18 M,"Apr 13, 2021"
Vulcan Forged,vulcan-forged,$2.704,1.17%,$3.2 M,$135.3 M,$64.62 M,6.76x,$6 M,"Apr 13, 2021"
Ethereum Push Notification Serv…,PUSH,$0.06841,-1.05%,$898.42 K,$6.84 M,$4.13 M,0.57x,$11.61 M,"Apr 13, 2021"
Mobox,MBOX,$0.1433,-0.33%,$4.18 M,$77.03 M,$46.72 M,0.05x,,"Apr 12, 2021"
Deeper Network,DPR,$0.00228,-8.14%,$58.4 K,$22.73 M,$6.1 M,0.11x,$13.35 M,"Apr 10, 2021"
Kattana,KTN,$0.03366,0.29%,$10.35 K,$335.8 K,$315.95 K,0.03x,$1.53 M,"Apr 9, 2021"
Finminity,FMT,$0.01656,2.55%,$343.24,$164.8 K,$46.16 K,0.03x,$1.3 M,"Apr 7, 2021"
RAI Finance,SOFI,$0.01051,9.31%,$2.96 M,$10.43 M,$4.83 M,0.01x,$2.39 M,"Apr 6, 2021"
Metaverse Index,MVI,$21.96,-0.16%,$1.33 K,$865.7 K,,0.18x,,"Apr 6, 2021"
Gains Associates,GAINS,$0.07153,1.21%,$98.82 K,$7.16 M,$2.77 M,1.43x,$1.24 M,"Apr 6, 2021"
Alien Worlds,TLM,$0.0093,0.06%,$6.49 M,$59.8 M,$40.99 M,3.01x,$2.51 M,"Apr 6, 2021"
Boson Protocol,BOSON,$0.2541,-1.17%,$230.53 K,$50.32 M,$33.46 M,0.34x,$14.52 M,"Apr 6, 2021"
Liquity,LQTY,$0.6641,2.03%,$7.52 M,$65.9 M,$64.03 M,0.07x,$8.4 M,"Apr 5, 2021"
MiL.K,MLK,$0.2211,-1.05%,$4.24 M,$218.06 M,$83.26 M,0.49x,$14.09 M,"Apr 4, 2021"
Findora,FRA,$0.000484,-2.64%,$75.38 K,$10.08 M,$5.61 M,0.01x,$113.41 M,"Apr 4, 2021"
AIOZ Network,AIOZ,$0.4749,-3.70%,$1.71 M,$529.09 M,$529.09 M,31.71x,$1.35 M,"Apr 2, 2021"
Persistence,XPRT,$0.212,0.04%,$359.42 K,$41.02 M,$39.94 M,0.47x,$4.15 M,"Apr 1, 2021"
Delta Exchange,DETO,$0.02802,1.99%,$0,$14.1 M,$2.65 M,0.59x,$5 M,"Apr 1, 2021"
Seedify.fund,,$1.311,-3.47%,$4.24 M,$130.3 M,$81.13 M,1.9x,$10 M,"Mar 31, 2021"
Strike,,$5.9,-2.50%,$367.7 K,$38.85 M,$30.88 M,0.08x,$80 M,"Mar 31, 2021"
StakeWise,SWISE,$0.0205,2.00%,$3.02 K,$8 M,,2.55x,$2 M,"Mar 31, 2021"
SHOPX,SHOPX,$0.00473,-2.26%,$271.42 K,$2.37 M,$2.27 M,0.11x,$2.17 M,"Mar 31, 2021"
Ramifi Protocol,RAM,$0.00684,12.96%,$1.77 K,$24.18 K,,0.01x,$950.5 K,"Mar 31, 2021"
Rage.fan,RAGE,$0.000232,0.22%,$3.39 K,$92.4 K,$30.32 K,0.01x,$1.76 M,"Mar 31, 2021"
Unmarshal,MARSH,$0.06318,4.09%,$400.76 K,$6.34 M,$3.27 M,0.38x,$2.8 M,"Mar 30, 2021"
Unlock Protocol,UDT,$4.736,1.63%,$668.95,$4.73 M,,0.04x,$5.7 M,"Mar 28, 2021"
MerchDAO,MRCH,$0.00614,11.33%,$534.8,$6 M,,0.01x,$1.11 M,"Mar 27, 2021"
Blind Boxes,BLES,$0.00781,-2.42%,$1.98 K,$15 M,,0.05x,$2.45 M,"Mar 26, 2021"
Convergence,CONV,$0.000674,0.74%,$331.58 K,$6.75 M,$2.65 M,0.14x,$3.75 M,"Mar 25, 2021"
KickPad,KPAD,$0.0017,6.82%,$99.43 K,$8.15 M,,0.04x,$1.55 M,"Mar 25, 2021"
A2DAO,ATD,$0.04479,-3.37%,$70.96,$765.63 K,,0.45x,,"Mar 24, 2021"
Ellipsis,EPS,$0.02262,-1.33%,$1.33 K,$16.3 M,$15.8 M,0.01x,,"Mar 23, 2021"
DoraFactory,DORA,$0.07158,-0.73%,$226.11 K,$71.22 M,$38.46 M,0.01x,$26.23 M,"Mar 23, 2021"
Taraxa,TARA,$0.00456,-6.22%,$151.44 K,$48.65 M,$19.86 M,0.46x,$312.43 M,"Mar 21, 2021"
K21,K21,$0.07189,1.57%,$30.42 K,$1.51 M,$1.32 M,0.04x,$2.23 M,"Mar 21, 2021"
Friends With Benefits,FWB,$2.869,15.05%,$9.64 K,$2.86 M,,0.12x,$23.7 M,"Mar 19, 2021"
Dafi Protocol,DAFI,$0.000956,7.12%,$478.72,$2.15 M,$1.05 M,0.29x,$1.06 M,"Mar 18, 2021"
Oddz,ODDZ,$0.00738,-2.04%,$67.95 K,$738 K,$730.62 K,0.04x,$2.73 M,"Mar 18, 2021"
Blockchain Cuties Universe,BCUG,$0.02959,-1.39%,$3.35 K,$45.04 K,$40.77 K,0.01x,$440 K,"Mar 17, 2021"
PolkaFoundry,PKF,$0.0302,1.12%,$1.72 K,$6.08 M,$3.46 M,0.3x,$2.4 M,"Mar 16, 2021"
Konomi Network,KONO,$0.00636,-1.26%,$28.78 K,$636 K,$636 K,0.02x,$5.2 M,"Mar 16, 2021"
Carnomaly,CARR,$0.00124,-11.97%,$77.66 K,$2.24 M,$2.17 M,0.01x,$140.73 M,"Mar 16, 2021"
LABS Group,,$0.000181,8.82%,$20.5 K,$1.82 M,$384.91 K,0.03x,$6.45 M,"Mar 16, 2021"
InsurAce Protocol,INSUR,$0.0104,-9.60%,$35.71 K,$1.04 M,$466.88 K,0.01x,$8 M,"Mar 15, 2021"
Aluna,ALN,$0.00179,0.52%,$7.19 K,$178.62 K,$63.47 K,0.02x,$1.73 M,"Mar 15, 2021"
My Neighbor Alice,ALICE,$0.9258,2.94%,$5.09 M,$92.01 M,$85.25 M,7.34x,$2.2 M,"Mar 14, 2021"
keyTango,,$0.00536,2.12%,$103.59,$267 K,$72.5 K,0.01x,$3.43 M,"Mar 11, 2021"
Playcent,PCNT,$0.00463,5.36%,$400.18,$277.8 K,$169.67 K,0.04x,$1.35 M,"Mar 10, 2021"
Mute,MUTE,$0.03237,-0.11%,$596.11,$1.3 M,,0.21x,,"Mar 10, 2021"
ChainGuardians,CGG,$0.01752,0.19%,$5.23 K,$2.1 M,$1.96 M,0.15x,$1.49 M,"Mar 10, 2021"
Belt Finance,BELT,$0.05594,-0.16%,$288.23,$2.33 M,$993.89 K,0.01x,$3 M,"Mar 10, 2021"
Nerve Finance,NRV,$0.00248,0.61%,$5.45 K,$248 K,$114.67 K,0.01x,$2 M,"Mar 7, 2021"
Inverse,XIV,$0.000898,1.79%,$13.63,$41.69 K,$30.03 K,0.01x,,"Mar 7, 2021"
Idavoll DAO,IDV,$0.000166,2.59%,$73.11,$332 K,$153.43 K,0.02x,$2 M,"Mar 7, 2021"
Ethernity.io,ERN,$2.337,-2.52%,$6.3 M,$70.26 M,$50.55 M,8.53x,$2.8 M,"Mar 7, 2021"
Big Data Protocol,BDP,$0.1351,0.39%,$32.9 K,$8.6 M,$7.06 M,0.02x,,"Mar 6, 2021"
ETHA Lend,ETHA,$0.00419,-5.89%,$4.62 K,$125.7 K,$39.22 K,0.01x,$2.35 M,"Mar 6, 2021"
Fusible,FUSII,$0.01247,-1.25%,$28.73,$124.3 K,$5.79 K,0.02x,$792 K,"Mar 5, 2021"
Yield,YIELD,$0.00144,-0.81%,$3.81 K,$202.58 K,$48.97 K,0.06x,$966.4 K,"Mar 4, 2021"
Unido,UDO,$0.00309,5.86%,$17.95 K,$355.21 K,$238.41 K,0.05x,$1.5 M,"Mar 3, 2021"
Alpaca Finance,ALPACA,$0.09995,1.32%,$1.34 M,$14.95 M,$14.99 M,0.04x,$1.25 M,"Mar 2, 2021"
APYSwap,APY,$0.00476,0.07%,$3.52 K,$477 K,$86.59 K,0.03x,$1.88 M,"Mar 2, 2021"
BSCPAD,,$0.05214,-0.38%,$12.27 K,$9.14 M,$4.13 M,2.59x,$900 K,"Mar 1, 2021"
Tranche Finance,SLICE,$0.03187,0.28%,$3.07 K,$635.2 K,$637.4 K,0.01x,$33.2 M,"Feb 28, 2021"
Vortex DeFi,VTX,$0.00232,61.63%,$24.67,$232 K,$58.49 K,0.06x,$997 K,"Feb 28, 2021"
Radicle,RAD,$1.057,0.20%,$2.65 M,$105.3 M,$54.71 M,0.17x,$36.68 M,"Feb 27, 2021"
Float Protocol,BANK,$0.5738,5.11%,$86.33,$160.83 K,$77.07 K,0.01x,$1.2 M,"Feb 27, 2021"
Alchemix,ALCX,$12.83,1.28%,$1.92 M,$31.57 M,$29.46 M,0.06x,$8 M,"Feb 26, 2021"
HOPR,HOPR,$0.05335,-3.01%,$108.7 K,$20.71 M,$18.2 M,0.08x,$23.21 M,"Feb 26, 2021"
Public Mint,MINT,$0.0015,-1.29%,$1.49,$377.5 K,$159.8 K,0.01x,$6.5 M,"Feb 26, 2021"
Fractal,FCL,$0.00859,-1.48%,$13.41,$2.11 M,$1.05 M,0.09x,$2.6 M,"Feb 25, 2021"
Polkamarkets,POLK,$0.01345,-2.44%,$143.9 K,$1.34 M,$1.21 M,0.45x,$715 K,"Feb 24, 2021"
Cyclone,CYC,$13.29,0.60%,$508.66,$348.5 K,$349.29 K,0.02x,,"Feb 23, 2021"
SuperFarm,SUPER,$0.5703,-1.43%,$6.56 M,$566.2 M,$278.18 M,22.68x,$2.81 M,"Feb 21, 2021"
Raydium,RAY,$1.863,2.29%,$11.99 M,$1.02 B,$491.1 M,5.64x,$2 M,"Feb 21, 2021"
Rai Reflex Index,RAI,$3.018,0.38%,$56.85 K,$3.75 M,$3.76 M,0.83x,$5.84 M,"Feb 17, 2021"
PoolTogether,,$0.2375,3.33%,$1.9 K,$2.39 M,,0.02x,$6.95 M,"Feb 17, 2021"
Vesper Finance,VSP,$0.3231,-2.44%,$733.29,$3.23 M,$2.75 M,0.13x,$2.5 M,"Feb 17, 2021"
Modefi,MOD,$0.02283,10.90%,$200.11,$500.94 K,$367.03 K,0.11x,$2.01 M,"Feb 16, 2021"
Tapmydata,TAP,$0.00146,-2.88%,$30.68,$146 K,$37.54 K,0.01x,,"Feb 15, 2021"
Premia,PREMIA,$0.1694,1.89%,$133.25,$16.9 M,,0.05x,$723.6 K,"Feb 14, 2021"
Peanut,NUX,$0.0054,3.90%,$93.35 K,$269.5 K,$270 K,0.01x,$7.96 M,"Feb 14, 2021"
VAIOT,VAI,$0.08054,2.60%,$522.01 K,$31.9 M,$27.26 M,0.8x,$7.1 M,"Feb 14, 2021"
Ideaology,IDEA,$0.00109,-8.20%,$234.99 K,$702 K,$695.42 K,0.01x,,"Feb 10, 2021"
Umbrella Network,UMB,$0.00756,-1.84%,$183.43 K,$2.51 M,$2.21 M,0.15x,$900 K,"Feb 9, 2021"
Deri Protocol,DERI,$0.01656,-0.27%,$31.45 K,$8 M,$2.06 M,0.02x,,"Feb 9, 2021"
Finxflo,FXF,$0.00112,14.52%,$2.66 K,$160.5 K,$101.26 K,0.02x,$200 K,"Feb 8, 2021"
DAO Maker,DAO,$0.3295,-1.01%,$1.26 M,$77.23 M,$49.4 M,3.28x,$8.1 M,"Feb 8, 2021"
Razor Network,RAZOR,$0.00346,-0.20%,$26.34 K,$3.46 M,$1.14 M,0.01x,$3.7 M,"Feb 6, 2021"
Bounce,AUCTION,$15.09,-0.11%,$11.52 M,$113 M,$98.09 M,0.68x,,"Feb 5, 2021"
OptionRoom,ROOM,$0.000423,-7.94%,$339.76,$42.5 K,$5.28 K,0.01x,$1 M,"Feb 5, 2021"
JasmyCoin,JASMY,$0.02124,0.45%,$65.74 M,$1.06 B,$1.05 B,0.03x,,"Feb 4, 2021"
Zipmex Token,ZMT,$0.00463,,$3.43,$923.81 K,$410.09 K,0.01x,$61 M,"Feb 3, 2021"
Maps.me,MAPS,$0.01217,-0.93%,$145.05 K,$121.6 M,$553.7 K,0.08x,$50.9 M,"Feb 1, 2021"
Seascape Crowns,CWS,$0.2098,3.02%,$389.97 K,$1.6 M,$1.02 M,0.21x,$782 K,"Jan 31, 2021"
Bitcicoin,BITCI,$0.000751,-1.41%,$728.78 K,$15.68 M,$5.79 M,0.47x,,"Jan 30, 2021"
SafePal,SFP,$0.7775,-3.25%,$1.52 M,$387.65 M,$379.03 M,7.75x,$7.26 M,"Jan 30, 2021"
Bridge Mutual,BMI,$0.00679,-1.29%,$4.94 K,$1.09 M,$439.29 K,0.05x,$1.76 M,"Jan 30, 2021"
Opium Protocol,OPIUM,$0.06194,0.73%,$2.5 K,$6.17 M,$257.74 K,0.01x,$3.25 M,"Jan 27, 2021"
Flow,FLOW,$0.5591,1.65%,$11.93 M,$849.2 M,$852.4 M,1.47x,$43.1 M,"Jan 26, 2021"
PAID Network,PAID,$0.05825,-3.04%,$18.58 K,$34.33 M,$17.88 M,1.39x,$2.1 M,"Jan 25, 2021"
TosDis,DIS,$1.132,8.37%,$4.25 K,$113.2 K,,0.02x,$1.95 M,"Jan 22, 2021"
Mandala,MDX,$0.00126,199.77%,$58.94,$496 K,,0.03x,$21 M,"Jan 21, 2021"
Router Protocol,ROUTE,$1.898,0.93%,$1.1 M,$37.78 M,$30.59 M,6.91x,$4.96 M,"Jan 20, 2021"
